,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
63,uvinza,99.0,TZ,1584831327.0,97.0,-5.1,30.39,64.78,2.77
64,meinung,,,,,,,,
65,adrar,12.0,MR,1584831327.0,28.0,20.5,-10.07,66.58,9.8
66,mount gambier,25.0,AU,1584831327.0,87.0,-37.83,140.77,55.4,8.05
67,iqaluit,75.0,CA,1584831327.0,70.0,63.75,-68.51,-5.8,21.92
68,hithadhoo,24.0,MV,1584831327.0,66.0,-0.6,73.08,83.68,3.27
69,lucea,20.0,JM,1584831328.0,65.0,18.45,-78.17,84.99,17.22
70,enkhuizen,0.0,NL,1584831328.0,64.0,52.7,5.28,39.99,17.22
71,koumac,50.0,NC,1584831328.0,68.0,-20.57,164.28,79.54,4.7
72,alice springs,0.0,AU,1584831328.0,33.0,-23.7,133.88,75.2,4.7
73,pangody,0.0,RU,1584831328.0,94.0,65.85,74.49,-10.1,8.3
74,okha,100.0,RU,1584831328.0,91.0,53.57,142.95,20.86,15.61
75,bethel,1.0,US,1584831328.0,24.0,41.37,-73.41,48.99,6.93
76,liberal,1.0,US,1584831329.0,47.0,37.04,-100.92,57.2,16.11
77,dmytrivka,100.0,UA,1584831330.0,91.0,45.97,28.99,46.78,16.55
78,dalkola,95.0,IN,1584831330.0,40.0,25.85,87.85,74.86,9.1
79,ontario,75.0,US,1584831331.0,45.0,34.06,-117.65,70.0,9.17
80,bredasdorp,2.0,ZA,1584831331.0,82.0,-34.53,20.04,63.0,3.36
81,ksenyevka,,,,,,,,
82,boulder city,1.0,US,1584831332.0,33.0,35.98,-114.83,64.99,1.83
83,yellowknife,90.0,CA,1584831332.0,88.0,62.46,-114.35,32.0,18.34
84,fortuna,20.0,US,1584831333.0,71.0,40.6,-124.16,62.01,16.11
85,quatre cocos,40.0,MU,1584831303.0,69.0,-20.21,57.76,77.0,6.93
86,esperance,90.0,AU,1584831333.0,100.0,-33.87,121.9,60.8,16.11
87,meulaboh,89.0,ID,1584831333.0,76.0,4.14,96.13,81.52,5.46
88,carnarvon,100.0,AU,1584831333.0,78.0,-24.87,113.63,78.8,9.17
89,chiungutwa,59.0,TZ,1584831333.0,97.0,-10.88,38.98,71.08,0.78
90,umzimvubu,,,,,,,,
91,kapaa,75.0,US,1584831334.0,74.0,22.08,-159.32,80.6,10.29
92,lavrentiya,40.0,RU,1584831334.0,76.0,65.58,-171.0,7.9,6.29
93,saint-joseph,90.0,RE,1584831334.0,78.0,-21.37,55.62,77.0,16.11
94,arroyo,90.0,ES,1584831334.0,87.0,41.61,-4.8,46.99,6.93
95,chalon-sur-saone,12.0,FR,1584831334.0,81.0,46.78,4.85,44.01,16.11
96,lorengau,100.0,PG,1584831334.0,70.0,-2.02,147.27,84.4,7.27
97,tuatapere,95.0,NZ,1584831334.0,82.0,-46.13,167.68,53.01,15.01
98,shihezi,0.0,CN,1584831334.0,63.0,44.3,86.03,41.2,1.74
99,vila velha,75.0,BR,1584831334.0,78.0,-20.33,-40.29,78.8,10.29
100,san rafael,47.0,AR,1584831130.0,31.0,-34.62,-68.33,78.1,13.42
101,corinto,82.0,GR,1584831335.0,71.0,37.94,22.96,59.0,3.36
102,castro,20.0,BR,1584831335.0,98.0,-24.79,-50.01,62.8,8.23
103,talnakh,100.0,RU,1584831335.0,83.0,69.49,88.4,-5.8,15.66
104,barentsburg,,,,,,,,
105,durazno,0.0,UY,1584831216.0,49.0,-33.41,-56.5,67.3,5.57
106,ningan,,,,,,,,
107,gumushane,,,,,,,,
108,rovaniemi,52.0,FI,1584831335.0,61.0,66.5,25.72,15.8,5.82
109,qaanaaq,100.0,GL,1584831337.0,62.0,77.48,-69.36,-7.4,1.77
110,bardiyah,0.0,LY,1584831337.0,71.0,31.76,25.09,58.84,17.36
111,tongzi,90.0,CN,1584831337.0,60.0,28.78,105.09,67.3,7.47
112,san patricio,20.0,MX,1584831338.0,74.0,19.22,-104.7,86.0,9.17
113,butaritari,9.0,KI,1584831338.0,77.0,3.07,172.79,82.78,12.88
114,callaway,75.0,US,1584831338.0,78.0,30.15,-85.57,77.0,8.05
115,bougouni,79.0,ML,1584831342.0,56.0,11.42,-7.48,80.8,4.94
116,kodiak,90.0,US,1584831342.0,69.0,57.79,-152.41,39.2,11.41
117,jamestown,1.0,US,1584831044.0,68.0,42.1,-79.24,34.0,13.87
118,grand river south east,,,,,,,,
119,salgar,40.0,CO,1584831342.0,64.0,5.96,-75.97,71.6,23.04
120,rive-de-gier,20.0,FR,1584831342.0,87.0,45.53,4.62,50.0,3.36
121,mahibadhoo,92.0,MV,1584831342.0,71.0,3.78,72.97,83.14,8.52
122,general roca,50.0,AR,1584831342.0,41.0,-39.03,-67.58,78.8,10.8
123,bosaso,48.0,SO,1584831342.0,75.0,11.28,49.18,82.78,12.3
124,port alfred,25.0,ZA,1584831343.0,94.0,-33.59,26.89,64.99,8.55
125,mys shmidta,,,,,,,,
126,broome,1.0,US,1584831343.0,52.0,42.25,-75.83,37.0,4.7
127,rawson,100.0,AR,1584831343.0,49.0,-43.3,-65.1,70.36,10.51
128,cabo san lucas,20.0,MX,1584831131.0,60.0,22.89,-109.91,77.0,11.41
129,haverfordwest,100.0,GB,1584831343.0,52.0,51.8,-4.97,42.01,8.05
130,fatehabad,12.0,IN,1584831344.0,60.0,29.52,75.45,62.26,4.09
131,kudahuvadhoo,81.0,MV,1584831344.0,73.0,2.67,72.89,83.68,7.83
132,sterling,90.0,US,1584831344.0,43.0,39.01,-77.43,52.0,8.05
133,buala,23.0,SB,1584831345.0,65.0,-8.14,159.59,86.02,6.8
134,hualmay,78.0,PE,1584831345.0,71.0,-11.1,-77.61,72.16,2.93
135,sao filipe,20.0,CV,1584831345.0,82.0,14.9,-24.5,68.92,12.48
136,yulara,0.0,AU,1584831346.0,29.0,-25.24,130.99,75.2,5.82
137,chuy,0.0,UY,1584831346.0,79.0,-33.7,-53.46,66.4,7.23
138,upernavik,99.0,GL,1584831346.0,99.0,72.79,-56.15,-6.14,7.07
139,vanimo,100.0,PG,1584831346.0,76.0,-2.67,141.3,81.34,7.52
140,saldanha,0.0,ZA,1584831347.0,82.0,-33.01,17.94,60.8,8.05
141,praia,20.0,CV,1584831127.0,73.0,14.92,-23.51,71.6,16.11
142,pangnirtung,90.0,CA,1584831347.0,83.0,66.15,-65.71,-7.6,4.7
143,kaitangata,79.0,NZ,1584831347.0,62.0,-46.28,169.85,61.0,3.0
144,eyl,49.0,SO,1584831347.0,82.0,7.98,49.82,81.52,6.04
145,boa vista,40.0,BR,1584831201.0,43.0,2.82,-60.67,89.6,6.93
146,koshurnikovo,83.0,RU,1584831348.0,89.0,54.17,93.3,21.04,3.38
147,puerto ayora,20.0,EC,1584831348.0,74.0,-0.74,-90.35,80.6,13.87
148,hohhot,0.0,CN,1584831348.0,63.0,40.81,111.65,26.6,4.47
149,jujuy,,,,,,,,
150,lubao,75.0,PH,1584831348.0,83.0,14.92,120.55,80.6,2.24
151,korla,2.0,CN,1584831349.0,42.0,41.76,86.15,36.52,6.02
152,albany,1.0,US,1584831183.0,34.0,42.6,-73.97,42.01,9.17
153,anadyr,100.0,RU,1584831350.0,71.0,64.75,177.48,5.0,2.24
154,altagracia de orituco,31.0,VE,1584831350.0,88.0,9.86,-66.38,66.58,7.09
155,norman wells,75.0,CA,1584831350.0,44.0,65.28,-126.83,39.2,5.82
156,airai,42.0,TL,1584831351.0,71.0,-8.93,125.41,73.6,4.45
157,bengkulu,91.0,ID,1584831280.0,90.0,-3.8,102.27,74.14,3.06
158,kahului,90.0,US,1584831171.0,78.0,20.89,-156.47,77.0,25.9
159,haines junction,100.0,CA,1584831351.0,85.0,60.75,-137.51,23.38,10.47
160,margate,0.0,GB,1584831216.0,66.0,51.38,1.39,46.4,12.75
161,nizhneyansk,,,,,,,,
162,biltine,97.0,TD,1584831351.0,11.0,14.53,20.92,80.08,14.56
163,eldikan,,,,,,,,
164,longyearbyen,90.0,SJ,1584831351.0,92.0,78.22,15.64,19.4,2.24
165,burica,,,,,,,,
166,lompoc,40.0,US,1584831352.0,55.0,34.64,-120.46,64.4,13.87
167,beringovskiy,100.0,RU,1584831352.0,79.0,63.05,179.32,28.06,10.07
168,bandarbeyla,2.0,SO,1584831352.0,82.0,9.49,50.81,81.34,8.34
169,amot,0.0,NO,1584831352.0,79.0,59.57,7.99,27.0,2.64
170,sur,84.0,OM,1584831352.0,80.0,22.57,59.53,73.42,15.35
171,hambantota,41.0,LK,1584831353.0,86.0,6.12,81.12,76.12,10.74
172,victoria,20.0,HK,1584831087.0,94.0,22.29,114.16,75.0,6.93
173,severo-kurilsk,100.0,RU,1584831353.0,93.0,50.68,156.12,27.52,23.11
174,vestmannaeyjar,92.0,IS,1584831353.0,57.0,63.44,-20.27,37.42,31.12
175,caravelas,100.0,BR,1584831353.0,86.0,-17.71,-39.25,82.24,8.32
176,mahadday weyne,,,,,,,,
177,katsuura,70.0,JP,1584831353.0,58.0,35.13,140.3,63.0,6.93
178,samusu,,,,,,,,
179,dunedin,29.0,NZ,1584831354.0,62.0,-45.87,170.5,61.0,3.0
180,sumbawanga,20.0,TZ,1584831354.0,93.0,-7.97,31.62,62.6,5.01
181,nelson bay,90.0,AU,1584831354.0,88.0,-32.72,152.15,75.0,10.29
182,vardo,100.0,NO,1584831354.0,80.0,70.37,31.11,33.64,24.18
183,sao gabriel da cachoeira,96.0,BR,1584831354.0,70.0,-0.13,-67.09,82.42,1.14
184,sept-iles,20.0,CA,1584831354.0,40.0,50.2,-66.38,14.0,20.8
185,sydney mines,20.0,CA,1584831354.0,46.0,46.24,-60.22,28.99,23.04
186,starosubkhangulovo,100.0,RU,1584831355.0,95.0,53.1,57.44,21.4,6.42
187,san carlos de bariloche,40.0,AR,1584831355.0,44.0,-41.15,-71.31,59.0,24.16
188,ribeira grande,15.0,PT,1584831355.0,75.0,38.52,-28.7,50.56,15.17
189,padre paraiso,93.0,BR,1584831355.0,93.0,-17.07,-41.48,69.64,0.65
190,sentyabrskiy,,,,,,,,
191,kavaratti,85.0,IN,1584831356.0,62.0,10.57,72.64,83.14,5.55
192,mecca,0.0,SA,1584831118.0,51.0,21.43,39.83,63.88,8.72
193,bayan,1.0,CN,1584831356.0,77.0,46.08,127.4,29.32,6.4
194,tutoia,100.0,BR,1584831357.0,92.0,-2.76,-42.27,74.86,1.41
195,kiama,0.0,AU,1584831357.0,72.0,-34.68,150.87,71.01,5.82
196,ambilobe,0.0,MG,1584831358.0,85.0,-13.2,49.05,73.6,8.86
197,torbay,20.0,CA,1584831358.0,74.0,47.67,-52.73,32.0,33.33
198,thomaston,1.0,US,1584831359.0,53.0,32.89,-84.33,79.0,9.17
199,fano,84.0,IT,1584831359.0,87.0,43.82,13.01,54.0,3.36
200,olga,49.0,RU,1584831359.0,72.0,43.74,135.29,34.36,6.6
201,dikson,62.0,RU,1584831359.0,98.0,73.51,80.55,-16.04,9.04
202,tumannyy,,,,,,,,
203,bonthe,5.0,SL,1584831294.0,77.0,7.53,-12.51,80.08,6.13
204,lensk,100.0,RU,1584831360.0,95.0,60.73,114.93,19.06,3.38
205,port-cartier,20.0,CA,1584831360.0,40.0,50.03,-66.87,14.0,20.8
206,newala,23.0,TZ,1584831361.0,97.0,-10.94,39.28,70.9,0.96
207,morehead,75.0,US,1584831361.0,52.0,37.27,-87.18,48.99,3.36
208,san-pedro,57.0,CI,1584831361.0,82.0,4.75,-6.64,82.78,9.19
209,nantucket,1.0,US,1584831362.0,55.0,41.28,-70.1,41.0,8.05
210,diamantino,100.0,BR,1584831362.0,93.0,-14.41,-56.45,74.86,3.02
211,ambositra,100.0,MG,1584831362.0,99.0,-20.52,47.25,62.44,2.95
212,walvis bay,38.0,NA,1584831322.0,82.0,-22.96,14.51,63.0,8.05
213,bouar,60.0,CF,1584831362.0,95.0,5.93,15.6,66.04,4.85
214,antofagasta,20.0,CL,1584831229.0,77.0,-23.65,-70.4,66.2,10.29
215,nikolskoye,40.0,RU,1584831363.0,63.0,59.7,30.79,28.4,6.71
216,cojutepeque,20.0,SV,1584831363.0,62.0,13.72,-88.93,86.0,6.93
217,ugoofaaru,33.0,MV,1584831365.0,68.0,5.67,73.0,82.96,5.26
218,novikovo,100.0,RU,1584831366.0,98.0,51.15,37.89,32.92,12.97
219,alekseyevka,100.0,RU,1584831366.0,96.0,50.63,38.69,38.5,7.0
220,cayenne,25.0,GF,1584831271.0,74.0,4.93,-52.33,80.6,4.7
221,mayo,90.0,US,1584831367.0,46.0,38.89,-76.51,52.0,5.82
222,kurilsk,56.0,RU,1584831367.0,81.0,45.23,147.88,32.74,8.79
223,codrington,44.0,AU,1584831367.0,71.0,-38.27,141.97,58.84,18.14
224,faanui,47.0,PF,1584831367.0,70.0,-16.48,-151.75,84.22,7.87
225,tual,100.0,ID,1584831368.0,77.0,-5.67,132.75,80.98,5.57
226,hare bay,75.0,CA,1584831368.0,62.0,48.85,-54.01,24.01,24.16
227,seoul,1.0,KR,1584831297.0,93.0,37.57,126.98,44.6,1.12
228,henties bay,3.0,NA,1584831368.0,92.0,-22.12,14.28,63.0,1.01
229,shingu,75.0,JP,1584831368.0,87.0,33.73,135.98,57.2,3.36
230,wad rawah,92.0,SD,1584831368.0,13.0,15.16,33.14,73.96,10.4
231,fort-shevchenko,0.0,KZ,1584831368.0,53.0,44.51,50.26,40.3,8.32
232,vila franca do campo,20.0,PT,1584831369.0,58.0,37.72,-25.43,53.6,18.34
233,kamloops,20.0,CA,1584831369.0,16.0,50.67,-120.32,59.0,14.99
234,saint-louis,0.0,SN,1584831369.0,28.0,16.33,-15.0,84.2,11.16
235,pacific grove,75.0,US,1584831195.0,55.0,36.62,-121.92,63.0,6.93
236,manitowoc,90.0,US,1584831369.0,74.0,44.07,-87.8,32.0,6.93
237,winnemucca,90.0,US,1584831369.0,33.0,40.97,-117.74,48.0,13.87
238,mutis,0.0,CO,1584831369.0,75.0,6.23,-77.4,80.26,7.45
239,riyadh,27.0,SA,1584831216.0,16.0,24.69,46.72,77.0,9.17
240,bira,95.0,RU,1584831370.0,72.0,49.0,132.47,26.98,3.85
241,tuktoyaktuk,75.0,CA,1584831370.0,85.0,69.45,-133.04,17.6,5.82
242,bella vista,1.0,US,1584831370.0,37.0,36.43,-94.23,55.99,3.36
243,necochea,82.0,AR,1584831247.0,46.0,-38.55,-58.74,77.0,10.0
244,dalvik,75.0,IS,1584831370.0,74.0,65.97,-18.53,30.2,27.51
245,cockburn town,40.0,TC,1584831352.0,78.0,21.46,-71.14,77.0,18.34
246,duyun,91.0,CN,1584831216.0,90.0,26.27,107.52,63.52,1.32
247,namibe,11.0,AO,1584831371.0,81.0,-15.2,12.15,73.06,3.56
248,southbridge,1.0,US,1584831371.0,26.0,42.08,-72.03,46.99,4.7
249,shimanovsk,0.0,RU,1584831372.0,73.0,52.0,127.7,18.88,8.25
250,magway,0.0,MM,1584831372.0,66.0,20.15,94.92,65.5,2.77
251,port blair,0.0,IN,1584831181.0,63.0,11.67,92.75,81.16,5.5
252,bam,100.0,IR,1584831372.0,42.0,29.11,58.36,67.48,2.06
253,metro,80.0,ID,1584831372.0,91.0,-5.11,105.31,76.48,5.26
254,college,90.0,US,1584831373.0,97.0,64.86,-147.8,35.6,5.84
255,attawapiskat,,,,,,,,
256,benidorm,75.0,ES,1584831198.0,93.0,38.54,-0.13,55.0,8.05
257,aksarka,78.0,RU,1584831378.0,84.0,66.56,67.8,-3.26,2.44
258,birao,72.0,CF,1584831380.0,8.0,10.28,22.79,76.3,8.32
259,vaitupu,,,,,,,,
260,cochrane,90.0,CA,1584831401.0,43.0,51.18,-114.47,39.0,13.87
261,stavern,0.0,NO,1584831402.0,48.0,59.0,10.03,32.0,2.24
262,kokuy,100.0,RU,1584831402.0,91.0,52.2,117.55,20.86,1.03
263,viligili,,,,,,,,
264,uusikaupunki,0.0,FI,1584831402.0,79.0,60.8,21.41,26.01,2.24
265,nhulunbuy,82.0,AU,1584831402.0,74.0,-12.23,136.77,82.4,8.05
266,mar del plata,40.0,AR,1584831403.0,50.0,-38.0,-57.56,79.0,5.82
267,souillac,40.0,MU,1584831403.0,69.0,-20.52,57.52,77.0,6.93
268,coahuayana,40.0,MX,1584831403.0,48.0,18.73,-103.68,84.2,9.17
269,goure,100.0,NE,1584831403.0,10.0,13.98,10.27,87.01,1.01
270,xining,0.0,CN,1584831404.0,53.0,36.62,101.77,35.44,3.76
271,beipiao,15.0,CN,1584831405.0,49.0,41.79,120.78,39.58,3.83
272,fort nelson,20.0,CA,1584831405.0,30.0,58.81,-122.7,41.0,11.41
273,gamba,83.0,GA,1584831405.0,80.0,-2.65,10.0,76.48,3.38
274,lukulu,100.0,ZM,1584831406.0,96.0,-14.37,23.24,66.04,4.47
275,palmer,1.0,US,1584831406.0,26.0,42.16,-72.33,48.2,4.7
276,bilma,0.0,NE,1584831406.0,13.0,18.69,12.92,79.54,7.78
277,kalmunai,83.0,LK,1584831406.0,68.0,7.42,81.82,80.44,6.2
278,alugan,19.0,PH,1584831407.0,82.0,12.22,125.48,80.98,12.86
279,mancio lima,90.0,BR,1584831407.0,95.0,-7.61,-72.9,76.3,0.89
280,cidreira,0.0,BR,1584831407.0,67.0,-30.18,-50.21,73.96,12.66
281,umm lajj,0.0,SA,1584831407.0,51.0,25.02,37.27,56.86,7.31
282,revda,75.0,RU,1584831407.0,86.0,56.8,59.93,26.6,6.71
283,klaksvik,100.0,FO,1584831407.0,81.0,62.23,-6.59,42.8,14.99
284,isangel,75.0,VU,1584831408.0,78.0,-19.55,169.27,80.6,3.36
285,chokurdakh,28.0,RU,1584831408.0,86.0,70.63,147.92,-1.46,3.31
286,lebu,100.0,CL,1584831408.0,80.0,-37.62,-73.65,55.6,6.51
287,collie,68.0,AU,1584831408.0,53.0,-33.37,116.15,63.0,11.95
288,vikulovo,100.0,RU,1584831408.0,91.0,56.82,70.61,20.14,21.25
289,husavik,75.0,IS,1584831408.0,74.0,66.04,-17.34,30.2,27.51
290,san quintin,17.0,MX,1584831276.0,61.0,30.48,-115.95,61.18,14.23
291,tautira,75.0,PF,1584831409.0,62.0,-17.73,-149.15,87.8,13.87
292,saint george,43.0,US,1584831238.0,38.0,37.1,-113.58,59.0,6.93
293,kirakira,84.0,SB,1584831409.0,65.0,-10.45,161.92,85.48,5.21
294,galveston,90.0,US,1584831409.0,100.0,29.37,-94.97,64.4,12.75
295,zhigansk,12.0,RU,1584831409.0,88.0,66.77,123.37,-14.42,5.37
296,kanungu,43.0,UG,1584831409.0,94.0,-0.96,29.79,57.94,3.44
297,makkaveyevo,40.0,RU,1584831410.0,63.0,51.75,113.95,28.4,6.71
298,kurumkan,30.0,RU,1584831410.0,86.0,54.3,110.3,19.06,1.92
299,san cristobal,40.0,VE,1584831410.0,54.0,7.77,-72.22,84.2,6.93
300,charters towers,65.0,AU,1584831410.0,58.0,-20.1,146.27,81.34,11.72
301,kununurra,40.0,AU,1584831412.0,73.0,-15.77,128.73,77.0,2.24
302,saryg-sep,38.0,RU,1584831412.0,88.0,51.5,95.6,18.7,2.53
303,vanavara,100.0,RU,1584831412.0,97.0,60.34,102.28,25.72,4.83
304,eenhana,10.0,NA,1584831412.0,85.0,-17.47,16.33,66.76,5.32
305,belushya guba,,,,,,,,
306,san pedro,40.0,PH,1584831414.0,74.0,14.35,121.02,80.6,3.36
307,monte alegre de sergipe,77.0,BR,1584831414.0,71.0,-10.03,-37.56,81.52,9.06
308,maniitsoq,6.0,GL,1584831414.0,57.0,65.42,-52.9,15.1,11.36
309,sinnamary,20.0,GF,1584831414.0,79.0,5.38,-52.95,80.08,14.07
310,tasiilaq,14.0,GL,1584831415.0,61.0,65.61,-37.64,15.8,5.97
311,miragoane,0.0,HT,1584831415.0,70.0,18.44,-73.09,79.18,8.9
312,singaraja,65.0,ID,1584831415.0,71.0,-8.11,115.09,82.42,2.44
313,leshukonskoye,51.0,RU,1584831415.0,91.0,64.9,45.76,13.84,6.67
314,georgetown,20.0,MY,1584831415.0,83.0,5.41,100.34,80.01,2.24
315,saleaula,,,,,,,,
316,dongsheng,0.0,CN,1584831416.0,38.0,39.82,109.98,38.86,1.16
317,bambanglipuro,75.0,ID,1584831132.0,85.0,-7.95,110.28,77.02,10.38
318,marshfield,1.0,US,1584831417.0,39.0,44.67,-90.17,34.0,8.05
319,pevek,20.0,RU,1584831417.0,75.0,69.7,170.31,-4.34,12.71
320,ostrovnoy,45.0,RU,1584831417.0,92.0,68.05,39.51,12.04,14.29
321,koidu,51.0,SL,1584831417.0,93.0,8.42,-10.83,73.24,2.68
322,ternate,84.0,ID,1584831418.0,78.0,0.8,127.4,82.06,1.77
323,novobirilyussy,100.0,RU,1584831418.0,85.0,56.95,90.67,30.04,5.19
324,ushtobe,100.0,KZ,1584831419.0,82.0,45.25,77.98,50.56,3.83
325,toamasina,56.0,MG,1584831419.0,72.0,-18.17,49.38,79.0,9.04
326,marzuq,52.0,YE,1584831419.0,72.0,14.4,46.47,68.92,2.86
327,pacifica,75.0,US,1584831419.0,76.0,37.61,-122.49,64.99,9.17
328,ust-maya,0.0,RU,1584831419.0,89.0,60.42,134.53,9.34,2.3
329,abnub,0.0,EG,1584831419.0,40.0,27.27,31.15,55.06,4.21
330,mrirt,,,,,,,,
331,halifax,20.0,CA,1584831300.0,29.0,44.65,-63.57,36.0,17.22
332,yueyang,100.0,CN,1584831420.0,91.0,29.33,113.09,67.12,10.2
333,oranjemund,4.0,NA,1584831420.0,95.0,-28.55,16.43,59.2,7.16
334,ribeira brava,20.0,PT,1584831420.0,51.0,32.65,-17.07,59.0,10.29
335,ardakan,20.0,IR,1584831420.0,38.0,32.31,54.02,60.8,2.24
336,namatanai,86.0,PG,1584831421.0,70.0,-3.67,152.43,84.4,5.28
337,pozo colorado,0.0,PY,1584831421.0,29.0,-23.49,-58.8,74.86,4.45
338,clyde river,75.0,CA,1584831421.0,76.0,70.47,-68.59,-4.0,2.24
339,havoysund,100.0,NO,1584831421.0,83.0,71.0,24.66,37.4,36.91
340,peniche,0.0,PT,1584831242.0,76.0,39.36,-9.38,51.01,3.36
341,vao,17.0,NC,1584831421.0,74.0,-22.67,167.48,76.3,16.87
342,mabaruma,0.0,GY,1584831421.0,89.0,8.2,-59.78,72.7,2.66
343,mpanda,100.0,TZ,1584831422.0,97.0,-6.37,31.04,64.06,1.92
344,pasinler,40.0,TR,1584831422.0,86.0,39.98,41.68,33.8,10.29
345,aswan,0.0,EG,1584831245.0,33.0,24.09,32.91,59.0,17.22
346,sandnessjoen,92.0,NO,1584831422.0,59.0,66.02,12.63,35.6,12.75
347,harper,93.0,LR,1584831422.0,88.0,4.38,-7.72,77.38,2.17
348,yanchukan,,,,,,,,
